iso2c,country,year,SP.POP.TOTL,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,iso3c,region,capital,longitude,latitude,income,lending
DO,Dominican Republic,2008,9458075,2.18979189739984,5207.00262280854,DOM,Latin America & Caribbean,Santo Domingo,-69.8908,18.479,Upper middle income,IBRD
DZ,Algeria,1995,28757785,3.31368806742244,3240.99021607688,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1996,29266405,3.31774582494844,3315.23636358283,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1999,30623406,3.00571944871188,3474.27325785774,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2000,31042235,2.83037996458696,3557.6386684294,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1997,29742979,2.93651170583821,3297.99935564852,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1998,30192754,3.54387655395728,3414.56223981337,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2003,32264157,2.83831965608151,3991.07992627793,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2004,32692163,2.70738828140555,4108.19831659194,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2005,33149724,3.23616827096358,4290.53154268188,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2006,33641002,3.00436514940905,4299.74842525472,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2007,34166972,3.20206733567142,4377.49860061468,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2008,34730608,3.17322455166924,4409.81203227677,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2009,35333881,3.43578736793731,4403.87344648228,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2010,35977455,3.31256060218823,4480.79927130159,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2011,36661444,3.30557126991506,4524.72027613238,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2012,37383887,3.47710809205046,4588.14765577383,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2013,38140132,3.52555735779834,4623.09442770872,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2001,31451514,2.67777217338409,3616.6833576974,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2002,31855109,2.82238889843384,3770.82924514601,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2015,39728025,3.85455657561633,4777.42733649206,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2014,38923687,3.73580277736793,4702.17012401875,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
EC,Ecuador,1996,11703174,2.06706308903892,3826.3126222704,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,1997,11951452,1.53627099033657,3908.98280326288,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,1995,11455204,1.99400578112795,3842.59647510637,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2000,12681123,1.63381034944618,3663.66378422193,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2001,12914667,1.78996237378788,3741.87019104291,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,1998,12198449,1.84124842428738,3954.9354359183,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,1999,12442115,1.72767684593817,3693.71326543515,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2004,13596388,2.13632525050035,4112.67444307076,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2005,13825847,2.18892564050506,4258.42161199778,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2002,13143465,1.89830216004684,3827.36022054702,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2003,13369678,2.01703571320117,3865.0528772486,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2008,14535739,2.33000964037673,4596.14518230386,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2009,14774424,2.44128718655969,4547.50930098406,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2010,15011117,2.42893190426802,4633.59035839904,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2011,15243883,2.39328673671925,4921.84840912018,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2012,15474102,2.10198239613517,5122.18009020886,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2013,15707474,2.63898370928387,5295.68269596129,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2014,15951838,2.89326295816194,5412.13164601881,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2015,16212020,2.66904432637019,5330.53915447542,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2006,14059384,2.05267101318237,4372.09186915062,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EC,Ecuador,2007,14296557,2.23304827868696,4393.72410498858,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EE,Estonia,1997,1399535,12.9383302311125,8778.96501691983,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,1998,1386156,11.7669410946531,9247.52277702763,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,1995,1436634,12.1958174455011,7209.40294552384,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,1996,1415594,12.9625217399904,7677.69950977208,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2001,1388115,11.2167089902494,10732.2741292682,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2002,1379350,10.7935041867546,11535.1620372776,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2003,1370720,12.4933538578265,12486.1124295075,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2004,1362550,12.6839903122821,13411.0395117541,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2005,1354775,12.3670151870237,14768.0566342049,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2006,1346810,12.0099620584938,16299.1545001753,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2007,1340680,13.6923068890414,17613.7530482035,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2008,1337090,12.7280489720213,16762.2845005182,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2009,1334515,10.7247209660438,14370.5134960561,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2010,1331475,13.3545751891699,14790.8212220594,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2011,1327439,13.632750732802,15940.1585200411,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,1999,1390244,10.9041132347991,9183.13250668142,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2000,1396985,10.6362516419289,10062.4369516652,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2014,1314545,13.8250512534755,17325.5189216301,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2015,1315407,12.4388527657219,17633.5917975349,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2012,1322696,12.9635925412944,16497.2087564675,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EE,Estonia,2013,1317997,14.6680333870259,16778.9007724327,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EG,"Egypt, Arab Rep.",1995,62334034,1.53118079924043,1658.32280900146,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",1998,66200269,1.84656518540733,1825.83429881266,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",1999,67515591,1.85724605447059,1898.6363738842,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",1996,63601629,1.48083043596258,1706.35250038784,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",1997,64892270,1.66741229733526,1764.26984976936,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2002,71485043,1.77930314737308,2022.07153551198,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2003,72826097,2.03173664517542,2048.22100367399,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2000,68831561,2.05321770924242,1980.96784649348,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2001,70152661,1.78826768951786,2012.37605430155,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2005,75523569,2.2139825780744,2147.81981105282,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2006,76873663,2.32311769766975,2254.5104594361,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2007,78232126,2.41706996432642,2372.38301038924,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2008,79636079,2.49367356471682,2497.34022161353,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2009,81134798,2.54803689780555,2565.76916476162,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2010,82761235,2.44940070070245,2644.81703909751,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2011,84529250,2.57204178435275,2635.19156362046,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2012,86422240,2.54689080033103,2634.85005236495,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2013,88404640,2.42523645817686,2632.05823306843,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2014,90424654,2.51980739677478,2648.29416930294,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2015,92442547,2.42941973461636,2703.74209214891,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
EG,"Egypt, Arab Rep.",2004,74172073,2.0346164249717,2093.34632990722,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
ER,Eritrea,1995,2204222,0.361006740700347,568.323537155413,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,1996,2196464,0.394002360157052,623.136893221521,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,1998,2206432,0.267575434003858,681.246372590342,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,1999,2237405,0.276982933353595,671.906257954195,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2000,2292416,0.265537319578994,635.17796019147,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2001,2374722,0.265599089072321,666.848296584065,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2002,2481058,0.243869752339526,657.450440960626,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2003,2600973,0.274922115685169,610.485624930114,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2004,2719803,0.283134477019108,592.28852465549,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2005,2826659,0.271133872179134,584.570025035596,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2006,2918205,0.188489156861838,560.74366760336,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2007,2996536,0.188456938278065,553.877207201598,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2008,3062779,0.13289793354336,488.883713294106,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2009,3119920,0.161023039052283,498.534349079834,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,1997,2195179,0.352471028558491,672.812442940035,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2011,3213972,0.18027101667345,537.491368290308,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2012,NA,NA,NA,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2013,NA,NA,NA,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2014,NA,NA,NA,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2015,NA,NA,NA,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ER,Eritrea,2010,3170435,0.158457435651575,501.355633266246,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ES,Spain,1995,39724050,6.08224226885224,23737.4843582365,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,1996,39889852,5.84874421193641,24267.7361815093,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,1997,40057389,6.29280273359804,25061.0125819586,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,1999,40386875,6.99126468685681,27113.7325084429,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2000,40567864,7.25782434589112,28408.8067685172,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2001,40850412,7.29074832831551,29321.8888343637,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,1998,40223509,6.50220349994825,26053.9053737859,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2004,42921895,7.90805068135971,30445.7488586839,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2005,43653155,8.09705804769438,31028.9967719752,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2006,44397319,7.88419571010583,31760.6025390822,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2007,45226803,7.92089071606499,32301.9690040863,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2008,45954106,7.16553160668603,32072.7645931733,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2009,46362946,6.21697337783496,30593.609837519,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2010,46576897,5.81641636625128,30502.7197080776,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2011,46742697,5.78801845772827,30146.9992402473,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2012,46773055,5.66093880333453,29235.8286869685,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2013,46620045,5.08439835268284,28910.7558426965,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2014,46480882,5.03382448723757,29398.6103065297,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2015,46444832,5.39341894917394,30549.7918140542,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2002,41431558,7.59128078166889,29700.1558750311,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ES,Spain,2003,42187645,7.61116644458348,30037.6248621551,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ET,Ethiopia,1995,57047908,0.0449312356905358,183.54790306594,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,1998,62507724,0.0515076504785233,187.516734052349,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,1999,64343013,0.0490696169295025,191.571880199971,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2000,66224804,0.0536000982350963,197.432305149369,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2001,68159423,0.0638610012881124,207.752705244742,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2002,70142091,0.0644607387025288,204.938205916459,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2003,72170584,0.0691018379454987,194.873070098516,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2004,74239505,0.071325206168872,215.154562212426,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2005,76346311,0.0670514650013672,233.944190480862,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2006,78489206,0.0701264196761017,252.212288224834,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2007,80674348,0.0746814960314275,273.492119814399,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2008,82916235,0.0799594434069516,294.805427784673,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,1996,58883530,0.0485748731436448,199.922992257154,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,1997,60697443,0.050264786277735,200.026554690016,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2011,90139927,0.0791656066018336,369.202407829027,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2012,92726971,0.0918658391203138,389.938966721631,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2013,95385785,0.109142185075061,419.183860251535,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2014,98094253,0.126763766680603,449.420377149128,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2015,100835458,0.136045863945994,482.639066335501,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2009,85233913,0.0783014620013984,312.033849443538,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
ET,Ethiopia,2010,87639964,0.0744781227888227,341.554114905179,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
EU,European Union,1995,426203343,8.00079435791756,25824.5689312358,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,1996,426896863,8.20777524664078,26270.9948158111,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,1999,428815493,7.84939681971799,28479.577556232,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2000,429328624,7.85024767647452,29555.970678109,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,1997,427538058,8.03617342762969,26930.2168448892,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,1998,428109863,8.02833507014997,27706.1548717598,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2003,432415939,8.11100494378399,30605.4245488829,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2004,434040236,8.10139248012021,31284.6362241925,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2005,435581949,8.03026303323694,31775.677160958,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2006,436998049,8.07896572096595,32779.8014332052,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2007,438468400,7.92633384982817,33700.3132011155,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2008,439876674,7.71644738315904,33809.3759904484,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2009,440917800,7.09776624350389,32269.1124507662,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2010,441532412,7.28656235320727,32931.6381222667,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2011,440746976,7.08101518318755,33597.4511459169,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2012,441395932,6.85961290191501,33298.8074190362,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2013,442469471,6.70396226952345,33198.9128120026,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2014,443576663,6.36138102468208,33640.0090474051,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2015,444543759,6.44969861534291,34357.8618328479,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2002,430881944,7.99536518058413,30432.0110302748,EUU,Aggregates,,,,Aggregates,Aggregates
EU,European Union,2001,429895628,8.02974542462665,30163.0759325582,EUU,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,1996,437852730,0.900944482777769,1726.33288718827,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,1997,448573338,0.929135863188558,1786.15400266698,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,1998,459140396,0.995905919284698,1829.82794557696,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2000,481415091,1.01797227401006,1808.78889058309,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2001,493531246,1.0766478395757,1831.01584846359,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2002,506165557,1.09387661121006,1785.09822845355,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,1999,469945426,0.999502483622241,1793.9214249448,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2004,532634908,1.07096136017872,1884.01547722874,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2005,546253003,1.08554164260958,1978.82810798147,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2006,560082826,1.0400786984568,2075.61876896128,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2003,519241843,1.12731987387507,1694.28310252683,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,1995,426987157,0.949756822491208,1716.49315386151,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2009,603084255,1.00835249958061,2241.18869721218,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2010,618029522,1.08997033166282,2282.1067276228,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2011,633349420,1.06783566996257,2241.91371554642,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2012,649019820,1.07382396417236,2358.71042927053,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2013,664904231,1.07346783175788,2391.82772674617,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2014,680813822,1.06927475009973,2362.64458529969,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2015,696641764,1.00497242842666,2353.3729741867,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2007,574141732,0.955385872434662,2163.44405745952,FCS,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2008,588463731,1.03490824578725,2232.69524782082,FCS,Aggregates,,,,Aggregates,Aggregates
FI,Finland,1997,5139835,11.6605782092227,34947.3752532717,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,1998,5153498,11.0582844894866,36756.7442228631,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,1995,5107790,10.3201433496679,31901.8428989353,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,1996,5124573,11.9586361634423,32963.4717384624,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,1999,5165474,10.7295164006246,38277.6106496705,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,2000,5176209,10.0838428278302,40403.5495797237,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,2001,5188008,10.9006142627382,41363.6929937087,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,2002,5200598,11.7965107089608,41967.9675848431,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,2003,5213014,13.1731679600323,42706.9211386174,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FI,Finland,2004,5228172,12.8509111788977,44283.1625157095,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
